season,period_end_date,region,crush_tonnes
20-21,2020-11-01,sao_paulo,16290301
20-21,2020-11-16,other_states,8978124
20-21,2020-11-16,sao_paulo,11387118
20-21,2020-12-01,other_states,4892927
20-21,2020-12-01,sao_paulo,3842868
20-21,2020-12-16,other_states,1435590
20-21,2020-12-16,sao_paulo,593519
20-21,2021-01-01,other_states,429789
20-21,2021-01-01,sao_paulo,23500
20-21,2021-01-16,other_states,202314
20-21,2021-01-16,sao_paulo,10265
20-21,2021-02-01,other_states,44506
20-21,2021-02-01,sao_paulo,0
20-21,2021-02-16,other_states,486891
20-21,2021-02-16,sao_paulo,0
20-21,2021-03-01,other_states,652389
20-21,2021-03-01,sao_paulo,16595
20-21,2021-03-16,other_states,1276928
20-21,2021-03-16,sao_paulo,400565
20-21,2021-04-01,other_states,3716552
20-21,2021-04-01,sao_paulo,1278290
21-22,2021-04-16,other_states,9006782
21-22,2021-04-16,sao_paulo,6658203
21-22,2021-05-01,other_states,12811035
21-22,2021-05-01,sao_paulo,16864206
21-22,2021-05-16,other_states,16878033
21-22,2021-05-16,sao_paulo,24613779
21-22,2021-06-01,other_states,17350542
21-22,2021-06-01,sao_paulo,26387569
21-22,2021-06-16,other_states,14741026
21-22,2021-06-16,sao_paulo,21813902
21-22,2021-07-01,other_states,18621538
21-22,2021-07-01,sao_paulo,26922667
21-22,2021-07-16,other_states,19263210
21-22,2021-07-16,sao_paulo,26924631
21-22,2021-08-01,other_states,19916196
21-22,2021-08-01,sao_paulo,27058475
21-22,2021-08-16,other_states,18617801
21-22,2021-08-16,sao_paulo,26212971
21-22,2021-09-01,other_states,17978661
21-22,2021-09-01,sao_paulo,25337186
21-22,2021-09-16,other_states,16108267
21-22,2021-09-16,sao_paulo,22466839
21-22,2021-10-01,other_states,15246732
21-22,2021-10-01,sao_paulo,20785492
21-22,2021-10-16,other_states,8630587
21-22,2021-10-16,sao_paulo,11106741
21-22,2021-11-01,other_states,8810769
21-22,2021-11-01,sao_paulo,8247982
21-22,2021-11-16,other_states,6701462
21-22,2021-11-16,sao_paulo,5880736
21-22,2021-12-01,other_states,2727545
21-22,2021-12-01,sao_paulo,1147490
21-22,2021-12-16,other_states,577965
21-22,2021-12-16,sao_paulo,190682
21-22,2022-01-01,other_states,8458
21-22,2022-01-01,sao_paulo,0
21-22,2022-01-16,other_states,0
21-22,2022-01-16,sao_paulo,0
21-22,2022-02-01,other_states,0
21-22,2022-02-01,sao_paulo,0
21-22,2022-02-16,other_states,0
21-22,2022-02-16,sao_paulo,0
21-22,2022-03-01,other_states,159380
21-22,2022-03-01,sao_paulo,0
21-22,2022-03-16,other_states,142352
21-22,2022-03-16,sao_paulo,0
21-22,2022-04-01,other_states,1112378
21-22,2022-04-01,sao_paulo,68753
22-23,2022-04-16,other_states,3642406
22-23,2022-04-16,sao_paulo,1645300
22-23,2022-05-01,other_states,10977937
22-23,2022-05-01,sao_paulo,13036591
22-23,2022-05-16,other_states,14696280
22-23,2022-05-16,sao_paulo,19593480
22-23,2022-06-01,other_states,18127069
22-23,2022-06-01,sao_paulo,25665257
22-23,2022-06-16,other_states,15565130
22-23,2022-06-16,sao_paulo,23108017
22-23,2022-07-01,other_states,17825922
22-23,2022-07-01,sao_paulo,24255856
22-23,2022-07-16,other_states,19433218
22-23,2022-07-16,sao_paulo,26985739
22-23,2022-08-01,other_states,20534965
22-23,2022-08-01,sao_paulo,28588916
22-23,2022-08-16,other_states,16820500
22-23,2022-08-16,sao_paulo,21978468
22-23,2022-09-01,other_states,17990407
22-23,2022-09-01,sao_paulo,26218172
22-23,2022-09-16,other_states,17068523
22-23,2022-09-16,sao_paulo,22575077
22-23,2022-10-01,other_states,11287643
22-23,2022-10-01,sao_paulo,14010543
22-23,2022-10-16,other_states,10598487
22-23,2022-10-16,sao_paulo,17252861
22-23,2022-11-01,other_states,12487588
