horizon,outer_held_out_season,alpha,inner_rmse,inner_mae,inner_r_squared,selected_alpha
1,14-15,31.622776601683793,6048273.497919187,4154400.224822937,0.9192848771908317,False
1,14-15,56.23413251903491,6045006.2361162575,4153862.975611855,0.9193720578409867,False
1,14-15,100.0,6043276.511490431,4154834.7161489767,0.9194181931726724,False
1,14-15,177.82794100389228,6042349.76155321,4155555.9009061907,0.9194429060773911,False
1,14-15,316.22776601683796,6041845.798241781,4155968.9130002987,0.9194563432759579,False
1,14-15,562.341325190349,6041568.372628576,4156203.6040758677,0.9194637398104256,False
1,14-15,1000.0,6041414.35717843,4156336.365745386,0.9194678459197992,False
1,14-15,1778.2794100389228,6041328.397178361,4156411.2740354487,0.919470137599963,False
1,14-15,3162.2776601683795,6041280.267126006,4156453.4778811745,0.9194714207253948,False
1,14-15,5623.413251903491,6041253.2682698425,4156477.2361730263,0.9194721404982159,False
1,14-15,10000.0,6041238.1068904,4156490.6044659945,0.9194725446898124,False
1,14-15,17782.794100389227,6041229.587742222,4156498.1245495635,0.9194727718038008,False
1,14-15,31622.776601683792,6041224.79920243,4156502.3542070133,0.9194728994624762,False
1,14-15,56234.13251903491,6041222.107082602,4156504.7329724245,0.9194729712322127,False
1,14-15,100000.0,6041220.593405616,4156506.0707309297,0.9194730115856024,False
1,14-15,177827.94100389228,6041219.742269946,4156506.823033252,0.9194730342761783,False
1,14-15,316227.7660168379,6041219.26366252,4156507.2460919777,0.9194730470354567,False
1,14-15,562341.3251903491,6041218.994528534,4156507.483997925,0.9194730542103459,False
1,14-15,1000000.0,6041218.843185504,4156507.6177830743,0.9194730582450256,False
1,14-15,1778279.410038923,6041218.758079741,4156507.6930162525,0.9194730605138746,False
1,14-15,3162277.6601683795,6041218.710221466,4156507.735323054,0.9194730617897365,False
1,14-15,5623413.251903491,6041218.683308846,4156507.7591139423,0.9194730625072046,False
1,14-15,10000000.0,6041218.66817479,4156507.7724925485,0.919473062910666,False
1,14-15,17782794.100389227,6041218.659664293,4156507.780015898,0.9194730631375487,False
1,14-15,31622776.60168379,6041218.65487849,4156507.7842465863,0.9194730632651343,False
1,14-15,56234132.51903491,6041218.652187235,4156507.786625677,0.919473063336881,False
1,14-15,100000000.0,6041218.650673833,4156507.78796354,0.919473063377227,True
1,15-16,0.0001,8103813.636014421,6439416.474196161,0.8576051297347751,False
1,15-16,0.00017782794100389227,8097090.130780909,6432480.118578016,0.8578413137186665,False
1,15-16,0.00031622776601683794,8085254.316234274,6420255.714370806,0.8582566071357147,False
1,15-16,0.0005623413251903491,8064578.886464113,6398858.517691191,0.8589806062607602,False
1,15-16,0.001,8028940.436270079,6361845.356327789,0.860224219365272,False
1,15-16,0.0017782794100389228,7968885.1924380055,6299087.565683891,0.8623074020051266,False
1,15-16,0.0031622776601683794,7871381.295790934,6199710.642668221,0.865656284506356,False
1,15-16,0.005623413251903491,7722021.4962527,6051510.1982595045,0.8707062693377996,False
1,15-16,0.01,7511766.679809318,5843448.010900845,0.8776512224826775,False
1,15-16,0.01778279410038923,7247041.508802989,5589397.566042165,0.8861227549642636,False
1,15-16,0.03162277660168379,6954931.002414396,5288908.830445532,0.895117964817012,False
1,15-16,0.05623413251903491,6674504.372126912,4986396.101463252,0.9034052555017373,False
1,15-16,0.1,6438668.364069202,4726290.717788884,0.9101107892319209,False
1,15-16,0.1778279410038923,6261854.197554482,4515690.760200328,0.9149799498725804,False
1,15-16,0.31622776601683794,6140377.263365158,4363394.7958202055,0.9182466487954011,False
1,15-16,0.5623413251903491,6059809.01505035,4251666.270136547,0.9203779549425154,False
1,15-16,1.0,6003820.231124407,4154847.1252458068,0.9218424721220068,False
1,15-16,1.7782794100389228,5961113.205383073,4071226.3012979506,0.9229504346383964,False
1,15-16,3.1622776601683795,5926994.680875813,4008458.096566832,0.9238298993809008,False
1,15-16,5.623413251903491,5900668.733198208,3968688.4127226067,0.9245050465099165,False
