model,horizon,held_out_season,selected_alpha,term,term_type,coefficient_standardized,coefficient_raw
joint_month_level_ridge,1,18-19,100000000.0,rainfall_oct,weather,-0.00397850168229805,-9.511887062061252e-05
joint_month_level_ridge,1,18-19,100000000.0,rainfall_nov,weather,0.008453864819586961,0.00018420119056663953
joint_month_level_ridge,1,18-19,100000000.0,rainfall_dec,weather,0.005858755854912365,0.00011528698265334396
joint_month_level_ridge,1,18-19,100000000.0,rainfall_jan,weather,-0.0007682021483370493,-1.1422084929400452e-05
joint_month_level_ridge,1,18-19,100000000.0,rainfall_feb,weather,0.0061659264533430805,0.0001248981204835114
joint_month_level_ridge,1,18-19,100000000.0,rainfall_mar,weather,0.0005748163004540462,1.545297250227585e-05
joint_month_level_ridge,1,18-19,100000000.0,rainfall_apr,weather,0.0035685073329610657,0.0001352297378900376
joint_month_level_ridge,1,18-19,100000000.0,temperature_sep,weather,-0.005984264613524538,-0.003615337294689927
joint_month_level_ridge,1,18-19,100000000.0,temperature_oct,weather,0.0054525950032144055,0.0038662944844642987
joint_month_level_ridge,1,18-19,100000000.0,temperature_nov,weather,-0.0004343320118044966,-0.00044334190238947985
joint_month_level_ridge,1,18-19,100000000.0,temperature_dec,weather,-0.0019411950603464279,-0.002043015121410995
joint_month_level_ridge,1,18-19,100000000.0,temperature_jan,weather,-0.003037150770248154,-0.0026906236753846823
joint_month_level_ridge,1,18-19,100000000.0,temperature_feb,weather,-0.0037736988936957847,-0.004105793068340573
joint_month_level_ridge,1,18-19,100000000.0,temperature_mar,weather,-0.0028049689103526697,-0.002388605919562606
joint_month_level_ridge,1,18-19,100000000.0,temperature_apr,weather,-0.004649770440593894,-0.0043532585075265265
joint_month_level_ridge,1,19-20,100000000.0,intercept,intercept,25320610.93333333,25320611.17808148
joint_month_level_ridge,1,19-20,100000000.0,block_fe_2,block_fixed_effect,22245269.666666653,22245269.666666653
