season,period_end_date,region,sugar_tonnes
20-21,2020-10-01,sao_paulo,1963978
20-21,2020-10-16,other_states,829937
20-21,2020-10-16,sao_paulo,1791011
20-21,2020-11-01,other_states,541680
20-21,2020-11-01,sao_paulo,1193973
20-21,2020-11-16,other_states,391632
20-21,2020-11-16,sao_paulo,852082
20-21,2020-12-01,other_states,166405
20-21,2020-12-01,sao_paulo,264473
20-21,2020-12-16,other_states,47948
20-21,2020-12-16,sao_paulo,46231
20-21,2021-01-01,other_states,11039
20-21,2021-01-01,sao_paulo,4
20-21,2021-01-16,other_states,7698
20-21,2021-01-16,sao_paulo,0
20-21,2021-02-01,other_states,1861
20-21,2021-02-01,sao_paulo,0
20-21,2021-02-16,other_states,21350
20-21,2021-02-16,sao_paulo,0
20-21,2021-03-01,other_states,18673
20-21,2021-03-01,sao_paulo,0
20-21,2021-03-16,other_states,43654
20-21,2021-03-16,sao_paulo,6581
20-21,2021-04-01,other_states,130868
20-21,2021-04-01,sao_paulo,42725
21-22,2021-04-16,other_states,346198
21-22,2021-04-16,sao_paulo,286773
21-22,2021-05-01,other_states,562738
21-22,2021-05-01,sao_paulo,961523
21-22,2021-05-16,other_states,807188
21-22,2021-05-16,sao_paulo,1579368
21-22,2021-06-01,other_states,824010
21-22,2021-06-01,sao_paulo,1826077
21-22,2021-06-16,other_states,690023
21-22,2021-06-16,sao_paulo,1536759
21-22,2021-07-01,other_states,929572
21-22,2021-07-01,sao_paulo,1995193
21-22,2021-07-16,other_states,960841
21-22,2021-07-16,sao_paulo,2018937
21-22,2021-08-01,other_states,979855
21-22,2021-08-01,sao_paulo,2066756
21-22,2021-08-16,other_states,932737
21-22,2021-08-16,sao_paulo,2063463
21-22,2021-09-01,other_states,949243
21-22,2021-09-01,sao_paulo,2018645
21-22,2021-09-16,other_states,796154
21-22,2021-09-16,sao_paulo,1757567
21-22,2021-10-01,other_states,751585
21-22,2021-10-01,sao_paulo,1586768
21-22,2021-10-16,other_states,356270
21-22,2021-10-16,sao_paulo,794422
21-22,2021-11-01,other_states,342418
21-22,2021-11-01,sao_paulo,519617
21-22,2021-11-16,other_states,242536
21-22,2021-11-16,sao_paulo,392572
21-22,2021-12-01,other_states,84730
21-22,2021-12-01,sao_paulo,78207
21-22,2021-12-16,other_states,12768
21-22,2021-12-16,sao_paulo,11078
21-22,2022-01-01,other_states,0
21-22,2022-01-01,sao_paulo,0
21-22,2022-01-16,other_states,0
21-22,2022-01-16,sao_paulo,0
21-22,2022-02-01,other_states,0
21-22,2022-02-01,sao_paulo,0
21-22,2022-02-16,other_states,0
21-22,2022-02-16,sao_paulo,0
21-22,2022-03-01,other_states,0
21-22,2022-03-01,sao_paulo,0
21-22,2022-03-16,other_states,0
21-22,2022-03-16,sao_paulo,0
21-22,2022-04-01,other_states,12473
21-22,2022-04-01,sao_paulo,0
22-23,2022-04-16,other_states,93126
22-23,2022-04-16,sao_paulo,38221
22-23,2022-05-01,other_states,350836
22-23,2022-05-01,sao_paulo,575996
22-23,2022-05-16,other_states,560300
22-23,2022-05-16,sao_paulo,1118841
22-23,2022-06-01,other_states,734938
22-23,2022-06-01,sao_paulo,1583558
22-23,2022-06-16,other_states,657382
22-23,2022-06-16,sao_paulo,1490459
22-23,2022-07-01,other_states,812319
22-23,2022-07-01,sao_paulo,1692920
22-23,2022-07-16,other_states,974309
22-23,2022-07-16,sao_paulo,2002525
22-23,2022-08-01,other_states,1073750
22-23,2022-08-01,sao_paulo,2233850
22-23,2022-08-16,other_states,889616
22-23,2022-08-16,sao_paulo,1741072
22-23,2022-09-01,other_states,992620
22-23,2022-09-01,sao_paulo,2155376
22-23,2022-09-16,other_states,951139
22-23,2022-09-16,sao_paulo,1920191
22-23,2022-10-01,other_states,577840
22-23,2022-10-01,sao_paulo,1121113
22-23,2022-10-16,other_states,534901
22-23,2022-10-16,sao_paulo,1308391
22-23,2022-11-01,other_states,646309
22-23,2022-11-01,sao_paulo,1501810
22-23,2022-11-16,other_states,492455
22-23,2022-11-16,sao_paulo,1180238
22-23,2022-12-01,other_states,397518
22-23,2022-12-01,sao_paulo,638492
22-23,2022-12-16,other_states,161397
22-23,2022-12-16,sao_paulo,141386
22-23,2023-01-01,other_states,95602
22-23,2023-01-01,sao_paulo,78228
22-23,2023-01-16,other_states,19410
22-23,2023-01-16,sao_paulo,0
22-23,2023-02-01,other_states,16647
22-23,2023-02-01,sao_paulo,0
22-23,2023-02-16,other_states,2356
22-23,2023-02-16,sao_paulo,0
22-23,2023-03-01,other_states,350
22-23,2023-03-01,sao_paulo,0
22-23,2023-03-16,other_states,9298
22-23,2023-03-16,sao_paulo,6263
22-23,2023-04-01,other_states,99039
22-23,2023-04-01,sao_paulo,68802
23-24,2023-04-16,other_states,241497
23-24,2023-04-16,sao_paulo,300253
23-24,2023-05-01,other_states,346554
23-24,2023-05-01,sao_paulo,653921
23-24,2023-05-16,other_states,816128
23-24,2023-05-16,sao_paulo,1726127
23-24,2023-06-01,other_states,941467
23-24,2023-06-01,sao_paulo,1984251
23-24,2023-06-16,other_states,906052
23-24,2023-06-16,sao_paulo,1654286
23-24,2023-07-01,other_states,960002
23-24,2023-07-01,sao_paulo,1743807
23-24,2023-07-16,other_states,1071276
23-24,2023-07-16,sao_paulo,2183867
23-24,2023-08-01,other_states,1221349
23-24,2023-08-01,sao_paulo,2470240
23-24,2023-08-16,other_states,1121582
23-24,2023-08-16,sao_paulo,2342233
23-24,2023-09-01,other_states,1116413
23-24,2023-09-01,sao_paulo,2350807
23-24,2023-09-16,other_states,979824
23-24,2023-09-16,sao_paulo,2146269
23-24,2023-10-01,other_states,1106045
23-24,2023-10-01,sao_paulo,2270394
23-24,2023-10-16,other_states,830269
23-24,2023-10-16,sao_paulo,1431813
23-24,2023-11-01,other_states,758746
23-24,2023-11-01,sao_paulo,1598779
23-24,2023-11-16,other_states,663822
23-24,2023-11-16,sao_paulo,1534939
23-24,2023-12-01,other_states,385756
23-24,2023-12-01,sao_paulo,1023624
23-24,2023-12-16,other_states,212442
23-24,2023-12-16,sao_paulo,729286
23-24,2024-01-01,other_states,67835
23-24,2024-01-01,sao_paulo,168490
23-24,2024-01-16,other_states,22653
23-24,2024-01-16,sao_paulo,20363
23-24,2024-02-01,other_states,13537
23-24,2024-02-01,sao_paulo,14379
23-24,2024-02-16,other_states,20293
23-24,2024-02-16,sao_paulo,7231
23-24,2024-03-01,other_states,14611
23-24,2024-03-01,sao_paulo,1961
23-24,2024-03-16,other_states,28053
23-24,2024-03-16,sao_paulo,36246
23-24,2024-04-01,other_states,79938
23-24,2024-04-01,sao_paulo,102970
24-25,2024-04-16,other_states,215987
